N,replicate,jobs,oracle_cost,tpr_cost,gap_per_household,zero_zone_fraction,coordinator_margin_min,min_household_saving,runtime_seconds
4,0,8,-83.11560025175936,-83.11560025175936,0.0,0.020833333333333332,-2.220446049250313e-16,0.0,0.006289682351052761
4,1,6,-93.34462494418707,-93.34462494418707,0.0,0.03125,-4.440892098500626e-16,0.0,0.004876434803009033
4,2,7,-94.04875858291294,-94.04875858291297,0.0,0.041666666666666664,-2.220446049250313e-16,-3.552713678800501e-15,0.004912755452096462
4,3,8,-90.02567300264619,-90.02567300264617,3.552713678800501e-15,0.03125,-4.440892098500626e-16,0.0,0.00507008284330368
4,4,9,-84.81677670255543,-84.81677670255542,3.552713678800501e-15,0.0625,-4.440892098500626e-16,0.0,0.00533636100590229
4,5,5,-105.75408343997857,-105.75408343997854,7.105427357601002e-15,0.020833333333333332,-6.661338147750939e-16,-3.552713678800501e-15,0.004684067331254482
4,6,8,-88.41161751028937,-88.41161751028939,0.0,0.0625,-4.440892098500626e-16,0.0,0.005011683329939842
4,7,5,-99.27104874313787,-99.2710487431379,0.0,0.010416666666666666,-4.440892098500626e-16,-3.552713678800501e-15,0.004741806536912918
4,8,4,-105.27764817525103,-105.27764817525102,3.552713678800501e-15,0.0,-4.440892098500626e-16,-3.552713678800501e-15,0.004483918659389019
4,9,10,-78.5018441357,-78.50184413570005,0.0,0.07291666666666667,-4.440892098500626e-16,0.4367621034134537,0.005340121686458588
4,10,7,-89.37925759801247,-89.37925759801247,0.0,0.125,-4.440892098500626e-16,0.0,0.004987034015357494
4,11,7,-94.88970498178736,-94.88970498178738,0.0,0.041666666666666664,-2.220446049250313e-16,-3.552713678800501e-15,0.004903964698314667
4,12,9,-85.28831237826412,-85.28831237826414,0.0,0.052083333333333336,-4.440892098500626e-16,0.0,0.005044073797762394
4,13,9,-86.99389975283987,-86.99389975283987,0.0,0.052083333333333336,-3.3306690738754696e-16,7.105427357601002e-15,0.005038713105022907
4,14,7,-89.90825368153125,-89.90825368153122,7.105427357601002e-15,0.10416666666666667,-4.440892098500626e-16,0.0,0.005061063915491104
4,15,6,-102.11100395005772,-102.11100395005772,0.0,0.0,-2.220446049250313e-16,-3.552713678800501e-15,0.004641727544367313
8,0,10,-206.0515871670865,-206.0515871670865,0.0,0.0,-8.881784197001252e-16,0.0,0.005333710461854935
8,1,14,-191.36606971134796,-191.36606971134796,0.0,0.0,-4.440892098500626e-16,0.0,0.00570885743945837
8,2,14,-187.26440893941574,-187.26440893941572,3.552713678800501e-15,0.0,-8.881784197001252e-16,0.0,0.005682528018951416
8,3,14,-181.61829547211568,-181.61829547211565,3.552713678800501e-15,0.010416666666666666,-6.661338147750939e-16,0.0,0.005796757526695728
8,4,17,-154.91034806919114,-154.91034806919112,3.552713678800501e-15,0.020833333333333332,-8.881784197001252e-16,-7.105427357601002e-15,0.006200843490660191
8,5,16,-194.13772720750578,-194.13772720750572,7.105427357601002e-15,0.0,-8.881784197001252e-16,0.0,0.005803676322102547
8,6,14,-160.68007172573624,-160.68007172573627,0.0,0.0,-8.881784197001252e-16,-3.552713678800501e-15,0.005828917026519775
8,7,13,-182.04497736743437,-182.0449773674343,7.105427357601002e-15,0.010416666666666666,-8.881784197001252e-16,-7.105427357601002e-15,0.005670967511832714
8,8,16,-170.12439113272663,-170.12439113272669,0.0,0.020833333333333332,-8.881784197001252e-16,0.0,0.006020014174282551
8,9,18,-170.96879325127787,-170.96879325127784,3.552713678800501e-15,0.020833333333333332,-6.661338147750939e-16,-7.105427357601002e-15,0.006126543506979942
8,10,17,-170.50033760395112,-170.5003376039512,0.0,0.020833333333333332,-8.881784197001252e-16,0.0,0.006136452779173851
8,11,16,-184.07395594355978,-184.07395594355978,0.0,0.020833333333333332,-8.881784197001252e-16,0.0,0.006026405841112137
8,12,15,-185.40594999798668,-185.4059499979867,0.0,0.0,-8.881784197001252e-16,0.0,0.005856885574758053
8,13,14,-184.44390226834454,-184.44390226834446,1.0658141036401503e-14,0.0,-8.881784197001252e-16,0.0,0.005771107040345669
8,14,13,-188.18004852097343,-188.18004852097346,0.0,0.0,-6.661338147750939e-16,-3.552713678800501e-15,0.005618778057396412
8,15,16,-180.0938677974466,-180.09386779744665,0.0,0.0,-4.440892098500626e-16,-7.105427357601002e-15,0.005901946686208248
16,0,29,-353.2286429366032,-353.22864293660325,0.0,0.0,-1.7763568394002505e-15,-3.552713678800501e-15,0.0074251312762498856
16,1,25,-389.2816831054657,-389.2816831054658,0.0,0.0,-1.7763568394002505e-15,0.0,0.007113443687558174
16,2,26,-368.2161639130881,-368.2161639130881,0.0,0.0,-1.7763568394002505e-15,-7.105427357601002e-15,0.007135535590350628
16,3,25,-404.7878445171785,-404.7878445171786,0.0,0.0,-1.7763568394002505e-15,-7.105427357601002e-15,0.006881086155772209
16,4,27,-371.6808786649087,-371.6808786649088,0.0,0.0,-1.7763568394002505e-15,-3.552713678800501e-15,0.007326723076403141
16,5,31,-396.8620696071178,-396.8620696071179,0.0,0.0,-1.7763568394002505e-15,-7.105427357601002e-15,0.007592570036649704
16,6,29,-369.42627564849556,-369.4262756484955,3.552713678800501e-15,0.0,-1.3322676295501878e-15,0.0,0.007318703457713127
16,7,29,-366.7618137767783,-366.76181377677847,0.0,0.0,-1.3322676295501878e-15,-7.105427357601002e-15,0.007432950660586357
16,8,21,-412.3899570751745,-412.3899570751745,0.0,0.0,-1.7763568394002505e-15,-1.4210854715202004e-14,0.006685659289360046
16,9,25,-388.2176860252408,-388.21768602524094,0.0,0.0,-1.7763568394002505e-15,-3.552713678800501e-15,0.0070548150688409805
