N,replicate,jobs,oracle_cost,tpr_cost,gap_per_household,zero_zone_fraction,coordinator_margin_min,min_household_saving,runtime_seconds
5,0,12,-73.84160834946302,-71.96430228246024,0.3754612134005555,0.125,-4.440892098500626e-16,2.7370609304512747,0.008643410168588161
5,1,11,-73.6178502966531,-72.48183504897688,0.22720304953524534,0.11458333333333333,-4.440892098500626e-16,1.8044770163296384,0.0057713668793439865
5,2,12,-67.45799375028501,-66.49081354240546,0.19343604157591016,0.11458333333333333,-4.440892098500626e-16,0.6767703448838631,0.005988975055515766
5,3,7,-105.08926459184772,-105.08926459184775,0.0,0.0,-1.3322676295501878e-15,0.0,0.00514135230332613
5,4,11,-77.47246859881905,-76.93221703632253,0.10805031249930437,0.0625,-4.440892098500626e-16,1.8819203457820564,0.005465010181069374
5,5,5,-126.83328378840841,-126.8332837884085,0.0,0.010416666666666666,-4.440892098500626e-16,0.0,0.004809095524251461
5,6,10,-78.21433528484302,-77.31142635172704,0.18058178662319618,0.08333333333333333,-2.914335439641036e-16,1.2726018961748249,0.0056328680366277695
5,7,7,-103.29177303097185,-102.9118253618056,0.07598953383325124,0.0625,-4.440892098500626e-16,1.0301288960214166,0.0051175327971577644
5,8,9,-100.74087823091905,-100.7408782309191,0.0,0.052083333333333336,-4.440892098500626e-16,2.660443084901683,0.005308531224727631
5,9,9,-99.30722275917459,-99.30722275917456,5.684341886080802e-15,0.041666666666666664,-4.440892098500626e-16,1.5847333935014483,0.005238721147179604
5,10,10,-80.66804122869739,-80.44496037692207,0.044616170355064357,0.03125,-4.440892098500626e-16,3.7511962443539186,0.0055056288838386536
5,11,8,-100.52292794188091,-99.99397876305972,0.10578983576423866,0.08333333333333333,-8.881784197001252e-16,2.2732019663434464,0.005362940952181816
5,12,8,-100.20550324200333,-100.2055032420033,5.684341886080802e-15,0.0,-4.440892098500626e-16,1.5922736893501757,0.004995903931558132
5,13,11,-85.50592436482384,-84.62524826704642,0.17613521955548492,0.125,-5.551115123125783e-16,0.8886676979368211,0.005723306909203529
5,14,10,-85.66873571191228,-83.53954872909655,0.4258373965631449,0.0625,-4.440892098500626e-16,2.4879272248597353,0.0054738400503993034
5,15,10,-87.12001233949447,-86.91850057524508,0.04030235284987782,0.0625,-8.881784197001252e-16,0.25234776977565687,0.005381729453802109
10,0,14,-206.66020442661963,-206.66020442661966,0.0,0.0,-8.881784197001252e-16,0.0,0.005874546244740486
10,1,16,-195.94509826735043,-195.34823840318114,0.059685986416928925,0.08333333333333333,-8.881784197001252e-16,1.1740154184099083,0.006468561477959156
10,2,14,-216.10681186135446,-216.10681186135446,0.0,0.010416666666666666,-8.881784197001252e-16,0.0,0.005808286368846893
10,3,17,-205.1646163264358,-205.16461632643575,5.684341886080802e-15,0.010416666666666666,-1.3322676295501878e-15,0.0,0.006106994114816189
10,4,14,-225.96581713917845,-225.96581713917845,0.0,0.0,-8.881784197001252e-16,0.0,0.005957295186817646
10,5,19,-175.8404233940733,-175.84042339407335,0.0,0.010416666666666666,-1.3322676295501878e-15,0.0,0.0067544374614953995
10,6,17,-180.62961431062507,-180.62961431062504,2.842170943040401e-15,0.010416666666666666,-8.881784197001252e-16,2.3593328734490484,0.006256973370909691
10,7,18,-185.0158209197761,-185.01582091977602,8.526512829121202e-15,0.0,-8.881784197001252e-16,0.0,0.00632834155112505
10,8,17,-192.52993742793956,-192.52993742793947,8.526512829121202e-15,0.0,-8.881784197001252e-16,0.0,0.006211062893271446
10,9,14,-217.3103596200355,-217.31035962003563,0.0,0.0,-1.7763568394002505e-15,2.1489835407691302,0.005992424674332142
10,10,14,-221.55212670345733,-221.5521267034573,2.842170943040401e-15,0.0,-8.881784197001252e-16,1.1116853684108854,0.005893205292522907
10,11,16,-198.55367101292484,-198.5536710129248,2.842170943040401e-15,0.020833333333333332,-8.881784197001252e-16,0.0,0.0061141736805438995
10,12,16,-211.79877786546206,-211.79877786546206,0.0,0.0,-8.881784197001252e-16,0.0,0.0061380136758089066
10,13,17,-198.55654198233242,-198.55654198233242,0.0,0.03125,-6.661338147750939e-16,0.0,0.006249302998185158
10,14,16,-206.13324603280057,-206.1332460328005,5.684341886080802e-15,0.010416666666666666,-1.3322676295501878e-15,0.0,0.006183923222124577
10,15,16,-216.17226246726463,-216.17226246726466,0.0,0.0,-1.3322676295501878e-15,0.0,0.006016484461724758
15,0,29,-262.05074388822067,-262.0507438882207,0.0,0.0,-1.7763568394002505e-15,0.0,0.00787797849625349
15,1,32,-252.84297381672724,-252.84297381672724,0.0,0.020833333333333332,-2.220446049250313e-15,2.417636965058051,0.008258184418082237
15,2,25,-289.41567130290764,-289.4156713029075,7.579122514774402e-15,0.0,-1.7763568394002505e-15,0.0,0.007317112758755684
15,3,30,-259.3252728841997,-259.32527288419976,0.0,0.010416666666666666,-1.4432899320127035e-15,2.0671220430650123,0.007843276485800743
15,4,26,-293.3241251850402,-293.3241251850402,0.0,0.010416666666666666,-1.7763568394002505e-15,0.0,0.007472671568393707
15,5,25,-306.8058623295977,-306.80586232959774,0.0,0.0,-1.7763568394002505e-15,0.0,0.007229233160614967
15,6,25,-311.8459080413339,-311.845908041334,0.0,0.0,-1.7763568394002505e-15,0.0,0.007101194933056831
15,7,26,-298.8362048733402,-298.8362048733402,0.0,0.020833333333333332,-1.7763568394002505e-15,1.8661330673889154,0.007349612191319466
15,8,23,-309.7445188836773,-309.7445188836773,0.0,0.0,-2.6645352591003757e-15,0.0,0.006927795708179474
15,9,26,-292.1500388877903,-292.1500388877902,7.579122514774402e-15,0.0,-2.220446049250313e-15,0.0,0.007169255055487156
15,10,24,-294.4591950950707,-294.45919509507075,0.0,0.0,-1.7763568394002505e-15,2.1216786306663167,0.0071501536294817924
15,11,23,-310.41982629676676,-310.41982629676676,0.0,0.0,-2.220446049250313e-15,0.0,0.007098564878106117
15,12,28,-284.1094751230962,-284.10947512309616,3.789561257387201e-15,0.0,-1.7763568394002505e-15,1.6368139858369375,0.007757948711514473
15,13,28,-282.9824670594473,-282.98246705944723,3.789561257387201e-15,0.0,-2.220446049250313e-15,1.6863372136045243,0.007675659842789173
15,14,27,-284.5969384823391,-284.5969384823392,0.0,0.0,-1.3322676295501878e-15,0.0,0.007519841194152832
15,15,28,-278.5131518218066,-278.51315182180673,0.0,0.010416666666666666,-1.3322676295501878e-15,0.0,0.007915528491139412
