N,gap_mean,gap_sem,zero_zone_mean,runtime_mean
5,0.1220876820347053,0.03346328544524204,0.064453125,0.005597513343673199
10,0.003730374151060367,0.0037303741510579043,0.01171875,0.006147126667201519
15,1.4210854715202005e-15,6.80979694255049e-16,0.004557291666666666,0.007479000720195472
20,1.7763568394002505e-15,6.802928764360687e-16,0.0026041666666666665,0.008764860162045807
25,9.947598300641404e-16,5.859285502108464e-16,0.0,0.009314478025771677
30,1.6579330501069005e-15,4.853930953629324e-16,0.0006510416666666666,0.010706760513130575
40,5.329070518200752e-16,2.8642893384395585e-16,0.0,0.012923621397931129
50,1.7053025658242406e-15,7.338453819646734e-16,0.0,0.015164830547291785
75,2.842170943040401e-15,8.05374643242283e-16,0.0,0.02101264538941905
100,1.4210854715202005e-15,6.183491098788151e-16,0.0,0.026094067085068673
125,0.0,0.0,0.0,0.033521917765028775
150,1.7053025658242404e-15,8.288086116269192e-16,0.0,0.03860627056565136
175,1.9489172180848463e-15,8.715822764314998e-16,0.0,0.044271588034462184
200,2.2737367544323206e-15,6.884079889681497e-16,0.0,0.049867053516209126
